Mutation Rate,Population Size,Numer of Generations,is_tournament,Tournament Size,Max Fitness Achieved,Valley Wdith,Genome Length
0.001,10,1000,True,1.9,19,3,100
0.001,10,1000,True,2.0,0,3,100
0.001,10,1000,True,2.1,0,3,100
0.001,10,1000,True,2.2,5,3,100
0.001,10,1000,True,2.3,10,3,100
0.001,10,1000,True,2.4,13,3,100
0.001,10,1000,True,2.5,1,3,100
0.001,10,1000,True,2.6,3,3,100
0.001,10,1000,True,2.7,4,3,100
0.001,10,1000,True,2.8,4,3,100
0.001,10,1000,True,2.9,0,3,100
0.001,10,1000,True,3.0,10,3,100
0.001,10,1000,True,3.1,4,3,100
0.001,10,1000,True,3.2,1,3,100
0.001,10,1000,True,3.3,6,3,100
0.001,10,1000,True,3.4,3,3,100
0.001,10,1000,True,3.5,9,3,100
0.001,10,1000,True,3.6,9,3,100
0.001,10,1000,True,3.7,10,3,100
0.001,10,1000,True,3.8,7,3,100
0.001,10,1000,True,3.9,7,3,100
0.001,10,1000,True,4.0,19,3,100
0.001,10,1000,True,4.1,6,3,100
0.001,10,1000,True,4.2,3,3,100
0.001,10,1000,True,4.3,7,3,100
0.001,10,1000,True,4.4,3,3,100
0.001,10,1000,True,4.5,3,3,100
0.001,10,1000,True,4.6,1,3,100
0.001,10,1000,True,4.7,10,3,100
0.001,10,1000,True,4.8,3,3,100
0.001,10,1000,True,4.9,6,3,100
0.001,100,1000,True,1.0,43,3,100
0.001,100,1000,True,2.0,32,3,100
0.001,100,1000,True,3.0,34,3,100
0.001,100,1000,True,4.0,32,3,100
0.001,100,1000,True,5.0,37,3,100
0.001,100,1000,True,6.0,43,3,100
0.001,100,1000,True,7.0,22,3,100
0.001,100,1000,True,8.0,37,3,100
0.001,100,1000,True,9.0,34,3,100
0.001,10,1000,True,1.0,54,3,100
0.001,10,1000,True,2.0,4,3,100
0.001,10,1000,True,3.0,7,3,100
0.001,10,1000,True,4.0,1,3,100
0.001,10,1000,True,5.0,10,3,100
0.001,10,1000,True,6.0,0,3,100
0.001,10,1000,True,7.0,15,3,100
0.001,10,1000,True,8.0,9,3,100
0.001,10,1000,True,9.0,3,3,100
0.001,10,1000,True,10.0,3,3,100
0.001,10,1000,True,1.1,52,3,100
0.001,10,1000,True,1.2,43,3,100
0.001,10,1000,True,1.3,46,3,100
0.001,10,1000,True,1.4,39,3,100
0.001,10,1000,True,1.5,35,3,100
0.001,10,1000,True,1.6,25,3,100
0.001,10,1000,True,1.7,25,3,100
0.001,10,1000,True,1.8,6,3,100
0.001,10,1000,True,1.9,21,3,100
0.001,10,1000,True,2.0,10,3,100
0.001,10,1000,True,2.1,1,3,100
0.001,10,1000,True,2.2,9,3,100
0.001,10,1000,True,2.3,0,3,100
0.001,10,1000,True,2.4,19,3,100
0.001,10,1000,True,2.5,7,3,100
0.001,10,1000,True,2.6,6,3,100
0.001,10,1000,True,2.7,3,3,100
0.001,10,1000,True,2.8,7,3,100
0.001,10,1000,True,2.9,4,3,100
0.001,10,1000,True,3.0,1,3,100
0.001,10,1000,True,3.1,5,3,100
0.001,10,1000,True,3.2,6,3,100
0.001,10,1000,True,3.3,6,3,100
0.001,10,1000,True,3.4,4,3,100
0.001,10,1000,True,3.5,3,3,100
0.001,10,1000,True,3.6,7,3,100
0.001,10,1000,True,3.7,6,3,100
0.001,10,1000,True,3.8,3,3,100
0.001,10,1000,True,3.9,0,3,100
0.001,10,1000,True,4.0,7,3,100
0.001,10,1000,True,4.1,13,3,100
0.001,10,1000,True,4.2,3,3,100
0.001,10,1000,True,4.3,9,3,100
0.001,10,1000,True,4.4,6,3,100
0.001,10,1000,True,4.5,9,3,100
0.001,10,1000,True,4.6,1,3,100
0.001,10,1000,True,4.7,7,3,100
0.001,10,1000,True,4.8,1,3,100
0.001,10,1000,True,4.9,7,3,100
0.001,100,1000,True,1.0,49,3,100
0.001,100,1000,True,2.0,49,3,100
0.001,100,1000,True,3.0,19,3,100
0.001,100,1000,True,4.0,19,3,100
0.001,100,1000,True,5.0,35,3,100
0.001,100,1000,True,6.0,34,3,100
0.001,100,1000,True,7.0,26,3,100
0.001,100,1000,True,8.0,34,3,100
0.001,100,1000,True,9.0,22,3,100
0.001,100,1000,True,10.0,37,3,100
0.001,100,1000,True,11.0,25,3,100
0.001,100,1000,True,12.0,25,3,100
0.001,100,1000,True,13.0,28,3,100
0.001,100,1000,True,14.0,31,3,100
0.001,100,1000,True,15.0,22,3,100
0.001,100,1000,True,16.0,32,3,100
0.001,100,1000,True,17.0,31,3,100
0.001,100,1000,True,18.0,17,3,100
0.001,100,1000,True,19.0,40,3,100
0.001,100,1000,True,20.0,25,3,100
0.001,100,1000,True,21.0,26,3,100
0.001,100,1000,True,22.0,34,3,100
0.001,100,1000,True,23.0,22,3,100
0.001,100,1000,True,24.0,31,3,100
0.001,100,1000,True,25.0,29,3,100
0.001,100,1000,True,26.0,31,3,100
0.001,100,1000,True,27.0,28,3,100
0.001,100,1000,True,28.0,35,3,100
0.001,100,1000,True,29.0,16,3,100
0.001,100,1000,True,30.0,28,3,100
0.001,100,1000,True,31.0,28,3,100
0.001,100,1000,True,32.0,31,3,100
0.001,100,1000,True,33.0,22,3,100
0.001,100,1000,True,34.0,28,3,100
0.001,100,1000,True,35.0,24,3,100
0.001,100,1000,True,36.0,37,3,100
0.001,100,1000,True,37.0,34,3,100
0.001,100,1000,True,38.0,37,3,100
0.001,100,1000,True,39.0,25,3,100
0.001,100,1000,True,40.0,25,3,100
0.001,100,1000,True,41.0,25,3,100
0.001,100,1000,True,42.0,22,3,100
0.001,100,1000,True,43.0,29,3,100
0.001,100,1000,True,44.0,25,3,100
0.001,100,1000,True,45.0,25,3,100
0.001,100,1000,True,46.0,17,3,100
0.001,100,1000,True,47.0,28,3,100
0.001,100,1000,True,48.0,28,3,100
0.001,100,1000,True,49.0,26,3,100
0.001,100,1000,True,50.0,25,3,100
0.001,100,1000,True,51.0,28,3,100
0.001,100,1000,True,52.0,29,3,100
0.001,100,1000,True,53.0,40,3,100
0.001,100,1000,True,54.0,34,3,100
0.001,100,1000,True,55.0,26,3,100
0.001,100,1000,True,56.0,29,3,100
0.001,100,1000,True,57.0,26,3,100
0.001,100,1000,True,58.0,19,3,100
0.001,100,1000,True,59.0,13,3,100
0.001,100,1000,True,60.0,28,3,100
0.001,100,1000,True,61.0,28,3,100
0.001,100,1000,True,62.0,20,3,100
0.001,100,1000,True,63.0,31,3,100
0.001,100,1000,True,64.0,28,3,100
0.001,100,1000,True,65.0,19,3,100
0.001,100,1000,True,66.0,28,3,100
0.001,100,1000,True,67.0,32,3,100
0.001,100,1000,True,68.0,25,3,100
0.001,100,1000,True,69.0,31,3,100
0.001,100,1000,True,70.0,34,3,100
0.001,100,1000,True,71.0,25,3,100
0.001,100,1000,True,72.0,34,3,100
0.001,100,1000,True,73.0,34,3,100
0.001,100,1000,True,74.0,22,3,100
0.001,100,1000,True,75.0,28,3,100
0.001,100,1000,True,76.0,28,3,100
0.001,100,1000,True,77.0,16,3,100
0.001,100,1000,True,78.0,26,3,100
0.001,100,1000,True,79.0,28,3,100
0.001,100,1000,True,80.0,32,3,100
0.001,100,1000,True,81.0,19,3,100
0.001,100,1000,True,82.0,28,3,100
0.001,10,1000,True,1.0,41,3,100
0.001,10,1000,True,2.0,10,3,100
0.001,10,1000,True,3.0,3,3,100
0.001,10,1000,True,4.0,1,3,100
0.001,10,1000,True,5.0,9,3,100
0.001,10,1000,True,6.0,3,3,100
0.001,10,1000,True,7.0,12,3,100
0.001,10,1000,True,8.0,19,3,100
0.001,10,1000,True,9.0,13,3,100
0.001,10,1000,True,10.0,0,3,100
0.001,10,1000,True,1.1,40,3,100
0.001,10,1000,True,1.2,55,3,100
0.001,10,1000,True,1.3,61,3,100
0.001,10,1000,True,1.4,36,3,100
0.001,10,1000,True,1.5,45,3,100
0.001,10,1000,True,1.6,26,3,100
0.001,10,1000,True,1.7,15,3,100
0.001,10,1000,True,1.8,19,3,100
0.001,10,1000,True,1.9,10,3,100
0.001,10,1000,True,2.0,1,3,100
0.001,10,1000,True,2.1,9,3,100
0.001,10,1000,True,2.2,4,3,100
0.001,10,1000,True,2.3,1,3,100
0.001,10,1000,True,2.4,7,3,100
0.001,10,1000,True,2.5,1,3,100
0.001,10,1000,True,2.6,3,3,100
0.001,10,1000,True,2.7,3,3,100
0.001,10,1000,True,2.8,3,3,100
0.001,10,1000,True,2.9,10,3,100
0.001,10,1000,True,3.0,0,3,100
0.001,10,1000,True,3.1,4,3,100
0.001,10,1000,True,3.2,10,3,100
0.001,10,1000,True,3.3,6,3,100
0.001,10,1000,True,3.4,10,3,100
0.001,10,1000,True,3.5,6,3,100
0.001,10,1000,True,3.6,4,3,100
0.001,10,1000,True,3.7,4,3,100
0.001,10,1000,True,3.8,4,3,100
0.001,10,1000,True,3.9,7,3,100
0.001,10,1000,True,4.0,1,3,100
0.001,10,1000,True,4.1,0,3,100
0.001,10,1000,True,4.2,0,3,100
0.001,10,1000,True,4.3,10,3,100
0.001,10,1000,True,4.4,7,3,100
0.001,10,1000,True,4.5,7,3,100
0.001,10,1000,True,4.6,7,3,100
0.001,10,1000,True,4.7,1,3,100
0.001,10,1000,True,4.8,4,3,100
0.001,10,1000,True,4.9,3,3,100
0.001,100,1000,True,1.0,48,3,100
0.001,100,1000,True,2.0,44,3,100
0.001,100,1000,True,3.0,28,3,100
0.001,100,1000,True,4.0,28,3,100
0.001,100,1000,True,5.0,32,3,100
0.001,100,1000,True,6.0,19,3,100
0.001,100,1000,True,7.0,37,3,100
0.001,100,1000,True,8.0,26,3,100
0.001,100,1000,True,9.0,37,3,100
0.001,100,1000,True,10.0,29,3,100
0.001,100,1000,True,11.0,28,3,100
0.001,100,1000,True,12.0,37,3,100
0.001,100,1000,True,13.0,22,3,100
0.001,100,1000,True,14.0,22,3,100
0.001,10,1000,True,1.0,41,3,100
0.001,10,1000,True,2.0,7,3,100
0.001,10,1000,True,3.0,7,3,100
0.001,10,1000,True,4.0,1,3,100
0.001,10,1000,True,5.0,7,3,100
0.001,10,1000,True,6.0,7,3,100
0.001,10,1000,True,7.0,4,3,100
0.001,10,1000,True,8.0,3,3,100
0.001,10,1000,True,9.0,1,3,100
0.001,10,1000,True,10.0,7,3,100
0.001,10,1000,True,1.1,49,3,100
0.001,10,1000,True,1.2,56,3,100
0.001,10,1000,True,1.3,42,3,100
0.001,10,1000,True,1.4,37,3,100
0.001,10,1000,True,1.5,37,3,100
0.001,10,1000,True,1.6,24,3,100
0.001,10,1000,True,1.7,13,3,100
0.001,10,1000,True,1.8,16,3,100
0.001,10,1000,True,1.9,4,3,100
0.001,10,1000,True,2.0,6,3,100
0.001,10,1000,True,2.1,13,3,100
0.001,10,1000,True,2.2,6,3,100
0.001,10,1000,True,2.3,3,3,100
0.001,10,1000,True,2.4,0,3,100
0.001,10,1000,True,2.5,3,3,100
0.001,10,1000,True,2.6,7,3,100
0.001,10,1000,True,2.7,4,3,100
0.001,10,1000,True,2.8,0,3,100
0.001,10,1000,True,2.9,15,3,100
0.001,10,1000,True,3.0,1,3,100
0.001,10,1000,True,3.1,4,3,100
0.001,10,1000,True,3.2,1,3,100
0.001,10,1000,True,3.3,13,3,100
0.001,10,1000,True,3.4,3,3,100
0.001,10,1000,True,3.5,9,3,100
0.001,10,1000,True,3.6,7,3,100
0.001,10,1000,True,3.7,0,3,100
0.001,10,1000,True,3.8,9,3,100
0.001,10,1000,True,3.9,6,3,100
0.001,10,1000,True,4.0,4,3,100
0.001,10,1000,True,4.1,4,3,100
0.001,10,1000,True,4.2,3,3,100
0.001,10,1000,True,4.3,4,3,100
0.001,10,1000,True,4.4,3,3,100
0.001,10,1000,True,4.5,6,3,100
0.001,10,1000,True,4.6,6,3,100
0.001,10,1000,True,4.7,1,3,100
0.001,10,1000,True,4.8,7,3,100
0.001,10,1000,True,4.9,4,3,100
0.001,100,1000,True,1.0,45,3,100
0.001,100,1000,True,2.0,40,3,100
0.001,100,1000,True,3.0,35,3,100
0.001,100,1000,True,4.0,43,3,100
0.001,100,1000,True,5.0,26,3,100
0.001,100,1000,True,6.0,26,3,100
0.001,100,1000,True,7.0,22,3,100
0.001,100,1000,True,8.0,25,3,100
0.001,100,1000,True,9.0,32,3,100
0.001,100,1000,True,10.0,32,3,100
0.001,100,1000,True,11.0,34,3,100
0.001,100,1000,True,12.0,32,3,100
0.001,100,1000,True,13.0,31,3,100
0.001,100,1000,True,14.0,28,3,100
0.001,100,1000,True,15.0,34,3,100
0.001,100,1000,True,16.0,31,3,100
0.001,100,1000,True,17.0,25,3,100
0.001,100,1000,True,18.0,31,3,100
0.001,100,1000,True,19.0,22,3,100
0.001,100,1000,True,20.0,38,3,100
0.001,100,1000,True,21.0,25,3,100
0.001,100,1000,True,22.0,25,3,100
0.001,100,1000,True,23.0,35,3,100
0.001,100,1000,True,24.0,30,3,100
0.001,100,1000,True,25.0,25,3,100
0.001,100,1000,True,26.0,31,3,100
0.001,100,1000,True,27.0,34,3,100
0.001,100,1000,True,28.0,31,3,100
0.001,100,1000,True,29.0,35,3,100
0.001,100,1000,True,30.0,28,3,100
0.001,100,1000,True,31.0,35,3,100
0.001,100,1000,True,32.0,26,3,100
0.001,100,1000,True,33.0,19,3,100
0.001,100,1000,True,34.0,23,3,100
0.001,100,1000,True,35.0,34,3,100
0.001,100,1000,True,36.0,19,3,100
0.001,10,1000,True,1.0,49,3,100
0.001,10,1000,True,2.0,3,3,100
0.001,10,1000,True,3.0,13,3,100
0.001,10,1000,True,4.0,4,3,100
0.001,10,1000,True,5.0,7,3,100
0.001,10,1000,True,6.0,4,3,100
0.001,10,1000,True,7.0,3,3,100
0.001,10,1000,True,8.0,9,3,100
0.001,10,1000,True,9.0,7,3,100
0.001,10,1000,True,10.0,4,3,100
0.001,10,1000,True,1.1,51,3,100
0.001,10,1000,True,1.2,46,3,100
0.001,10,1000,True,1.3,51,3,100
0.001,10,1000,True,1.4,50,3,100
0.001,10,1000,True,1.5,34,3,100
0.001,10,1000,True,1.6,28,3,100
0.001,10,1000,True,1.7,15,3,100
0.001,10,1000,True,1.8,16,3,100
0.001,10,1000,True,1.9,10,3,100
0.001,10,1000,True,2.0,15,3,100
0.001,10,1000,True,2.1,10,3,100
0.001,10,1000,True,2.2,9,3,100
0.001,10,1000,True,2.3,3,3,100
0.001,10,1000,True,2.4,11,3,100
0.001,10,1000,True,2.5,10,3,100
0.001,10,1000,True,2.6,1,3,100
0.001,10,1000,True,2.7,3,3,100
0.001,10,1000,True,2.8,8,3,100
0.001,10,1000,True,2.9,1,3,100
0.001,10,1000,True,3.0,4,3,100
0.001,10,1000,True,3.1,7,3,100
0.001,10,1000,True,3.2,4,3,100
0.001,10,1000,True,3.3,4,3,100
0.001,10,1000,True,3.4,3,3,100
0.001,10,1000,True,3.5,3,3,100
0.001,10,1000,True,3.6,1,3,100
0.001,10,1000,True,3.7,10,3,100
0.001,10,1000,True,3.8,1,3,100
0.001,10,1000,True,3.9,3,3,100
0.001,10,1000,True,4.0,9,3,100
0.001,10,1000,True,4.1,4,3,100
0.001,10,1000,True,4.2,10,3,100
0.001,10,1000,True,4.3,15,3,100
0.001,10,1000,True,4.4,9,3,100
0.001,10,1000,True,4.5,3,3,100
0.001,10,1000,True,4.6,7,3,100
0.001,10,1000,True,4.7,7,3,100
0.001,10,1000,True,4.8,4,3,100
0.001,10,1000,True,4.9,0,3,100
0.001,100,1000,True,1.0,48,3,100
0.001,100,1000,True,2.0,52,3,100
0.001,100,1000,True,3.0,28,3,100
0.001,100,1000,True,4.0,31,3,100
0.001,100,1000,True,5.0,22,3,100
0.001,100,1000,True,6.0,28,3,100
0.01,100,1000,True,5,94,3,100
